slide,element,before_codex,after_figma,change_type,attribution,style_axis,note
Title,eyebrow,A second layer on reading,A SECOND LAYER ON READING,TYPOGRAPHY,AI-rewrite,규범화,"소문자→올캡스+자간(아이브로 규범)"
Title,wordmark,Layer 2,Layer 2,KEPT,codex-keep,-,"세리프 워드마크 유지"
Title,triad,Wrestle · Trace · Mirror,,DROPPED,user-edit,절제,"3단어 트라이어드 제거(AI빌드엔 있었음→사용자 삭제). 단 ColdOpen 다크 푸터엔 잔존"
Title,triad_kr,씨름하고 · 흔적을 남기고 · 그 흔적으로 나를 비춘다,,DROPPED,user-edit,절제,"트라이어드 한글도 제거"
Title,product_line,,책과 나를 함께 깊이 이해하는 똘똘한 디지털 독서 도구,ADDED,user-edit,서비스정의,"사용자가 직접 부제 신설(원문 33단어 피치). 'AI 플랫폼' 아니라 '디지털 독서 도구' 선택"
OneSentence,eyebrow,One sentence,,DROPPED,user-edit(추정),절제,"라벨 제거(다크 풀블리드 전환)"
OneSentence,headline,나를 비추는 독서.,나를 비추는 독서.,KEPT,user-edit(코덱스로 복원),-,"AI빌드는 '나를 아는 독서'였는데 사용자가 코덱스 '비추는'으로 되돌림"
OneSentence,lead,씨름한 흔적이 내 읽기의 거울이 된다.,책과 씨름하며 읽은 흔적이 내 읽기의 거울이 된다.,LEXICAL,user-edit,구체화,"'책과'·'읽은' 추가로 주어/대상 명시"
OneSentence,body,"시스템이 나를 꿰뚫는다는 뜻은 아닙니다. 내가 글 위에 남긴 흔적을 모아, 나는 어디서 멈추고 어디로 돌아갔는지 다시 보여준다는 뜻입니다.","내가 글 위에 남긴 흔적을 모아, 어디서 멈추고 어디로 돌아갔는지 다시 보여준다",HONESTY|LEXICAL,user-edit,헤지제거,"방어 디스클레이머('꿰뚫는다는 뜻 아님') 삭제+종결 평서화"
Teaser,eyebrow,밑줄 · 머묾 · 되돌아감,밑줄 · 머묾 · 되돌아감,KEPT,codex-keep,-,"감각 키워드 유지"
Teaser,headline,흔적이 선이 되는 순간,흔적을 눈에 보이게,LEXICAL,AI+user(추정),은유약화,"시적('선이 되는') → 기능적('눈에 보이게')"
Teaser,lead,"읽은 척 말고, 글이랑 진짜 지지고 볶은 자국.",글이랑 지지고 볶은 흔적의 시각화,TONE|LEXICAL,AI+user(추정),명사구화,"구어 문장 → 명사구('시각화')"
Teaser,visual,"머문다/밑줄/다시 간다/메모한다(캔버스 단어)",실제 제품 스크린샷,STRUCTURE,AI+user(추정),증거화,"개념 애니메이션 → 실제 화면 캡처"
Context,eyebrow,Context · Human-Book Interaction,CONTEXT · HUMAN-BOOK INTERACTION,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Context,headline,지지고 볶기,지지고 볶기,KEPT,codex-keep,-,"코어 은유 유지"
Context,lead,"종이책은 좁았지만, 깊었다.","종이책은 좁았지만, 깊었다.",KEPT,codex-keep,-,"verbatim 유지"
